image,prompt
Bank_Swallow_0019_129788,there is a bird that is sitting on a white pipe
American_Pipit_0085_100246,there is a small bird standing on a rock in the middle of a rocky area
Prothonotary_Warbler_0074_173443,yellow and gray bird with a worm in its mouth
Pileated_Woodpecker_0079_180388,araffes on a pole with a bird on it's head
Pelagic_Cormorant_0017_23875,there is a bird that is flying in the sky with its wings spread
Bohemian_Waxwing_0122_796654,araffe bird perched on a branch with a blue sky in the background
Song_Sparrow_0090_121057,there is a bird that is sitting on a post
Horned_Lark_0004_73861,there is a small bird standing on a mound of dirt
Cliff_Swallow_0006_133489,there is a bird that is flying in the sky with its wings spread
Hooded_Warbler_0135_164824,there is a yellow bird perched on a branch of a tree
Black_Tern_0089_144174,there is a bird that is flying in the sky with a red beak
Tree_Swallow_0103_137272,there is a small bird sitting on a branch with a flower
Savannah_Sparrow_0045_119398,there is a small bird standing on a rock in the middle of the field
Bronzed_Cowbird_0051_24083,there is a black bird standing on the ground next to a pink flower
Carolina_Wren_0011_186871,there is a small brown bird perched on a branch
Hooded_Warbler_0072_22097,there is a yellow and black bird sitting on a branch
Song_Sparrow_0069_122065,there is a bird that is sitting on a branch of a tree
Common_Tern_0113_147949,there is a bird that is flying in the air near a pipe
Common_Tern_0047_149195,there is a bird that is flying in the air with its wings spread
Winter_Wren_0129_189843,there is a small bird sitting on a wooden bench
Least_Flycatcher_0060_30214,there is a small bird sitting on a branch of a tree
Field_Sparrow_0127_114087,there is a small bird sitting on a branch of a tree
Tree_Swallow_0016_135549,arafed bird perched on a branch with a green background
Yellow_Warbler_0025_176189,yellow bird perched on a rock in front of a building
Carolina_Wren_0102_186332,there is a small bird sitting on a branch of a tree
Winter_Wren_0130_189531,there is a small brown bird standing on a rock in the woods
Least_Flycatcher_0017_30460,there is a bird that is sitting on a post
Caspian_Tern_0097_145923,araffe bird flying over the water with its wings spread
Prairie_Warbler_0082_172783,yellow bird with black and white feathers hanging from a net
Caspian_Tern_0078_146824,there is a bird that is flying in the sky with its wings spread
Hooded_Warbler_0116_164630,yellow and black bird perched on a branch in the woods
Tennessee_Warbler_0024_174980,there is a bird that is sitting on a branch with a fruit
Northern_Waterthrush_0048_177129,there is a bird that is standing on a branch in the water
Ovenbird_0035_92785,there is a bird that is standing on the ground in the leaves
Ovenbird_0094_92577,there is a bird sitting on a branch in a tree
Black_Tern_0034_144106,there is a small bird standing on the grass by the water
Horned_Lark_0001_73835,there is a small bird standing on the ground in the dirt
Cedar_Waxwing_0004_179215,araffe bird with a black head and brown wings sitting on a branch
American_Pipit_0114_100380,there is a small bird standing on the ground in the dirt
Winter_Wren_0015_190099,there is a small bird sitting on a branch in the woods
Northern_Waterthrush_0016_177345,there is a small bird sitting on a branch in the woods
Bank_Swallow_0052_129575,there is a small bird sitting on a branch in a tree
Downy_Woodpecker_0031_184120,there is a bird that is sitting on a tree branch
Black_Tern_0080_144130,there is a bird that is flying in the sky with its wings spread
Ovenbird_0003_92910,there is a bird that is sitting on a branch in the tree
American_Pipit_0073_99642,there is a bird standing on the ground in the grass
Savannah_Sparrow_0064_119316,there is a bird sitting on a wire with a grassy field in the background
Horned_Lark_0116_73840,araffe bird standing in mud with its head in the water
Song_Sparrow_0071_122446,there is a small bird sitting on a rock in the sun
Gray_Catbird_0048_20558,there is a small bird perched on a branch of a tree
Downy_Woodpecker_0049_183920,there is a bird that is sitting on a branch in the tree
Northern_Waterthrush_0044_176961,there is a small bird walking on the ground with rocks
Winter_Wren_0128_190093,there is a small bird sitting on a branch in the snow
Savannah_Sparrow_0066_119949,there is a bird that is sitting on a branch in the grass
Blue_Jay_0076_61817,there is a blue and white bird sitting on a branch
Carolina_Wren_0036_186722,there is a bird that is eating from a bird feeder
Tree_Swallow_0040_135172,there is a bird that is sitting on a post
Hooded_Warbler_0096_164739,yellow bird perched on a branch of a tree with moss
Hooded_Warbler_0041_164807,yellow and black bird standing on dry grass and dry grass
Prairie_Warbler_0115_172689,there is a small yellow bird perched on a branch of a tree
Hooded_Warbler_0115_165041,yellow and black bird perched on a metal bar with holes
Cedar_Waxwing_0057_178370,there is a bird sitting on a branch of a tree with berries
Hooded_Warbler_0085_164846,there is a yellow and black bird sitting on a tree branch
Cedar_Waxwing_0058_178795,araffe bird perched on a tree branch with berries in the background
Prothonotary_Warbler_0031_174578,there is a yellow bird that is flying over a wooden fence
Northern_Waterthrush_0098_177116,there is a bird that is sitting on a branch in the tree
Tennessee_Warbler_0054_174914,there is a small bird perched on a branch in a tree
Winter_Wren_0047_190390,there is a bird that is sitting on a branch in the woods
Downy_Woodpecker_0005_184098,there is a bird that is sitting on a tree stump
Bronzed_Cowbird_0030_24103,there is a bird that is sitting on a rock by the water
Bronzed_Cowbird_0014_24030,there is a black bird that is sitting on a rope
American_Crow_0031_25433,there is a black bird that is sitting on a ledge
Common_Tern_0050_148928,there is a bird that is flying over the water
Pelagic_Cormorant_0057_24002,there is a bird that is sitting on a log in the water
Least_Flycatcher_0087_30123,there is a small bird sitting on a rock in the woods
Bank_Swallow_0046_129742,arafed bird perched on a wire with a blue sky in the background
Bronzed_Cowbird_0009_24033,there is a black bird sitting on a branch of a tree
Prairie_Warbler_0109_172909,there is a yellow bird perched on a branch of a tree
Song_Sparrow_0015_122081,there is a bird that is sitting on a branch in the woods
Downy_Woodpecker_0048_184164,there is a bird that is sitting on a tree branch
Prairie_Warbler_0107_173080,there is a small yellow bird sitting on a persons hand
Northern_Waterthrush_0084_177239,there is a bird that is standing in the water near a tree
Hooded_Warbler_0058_164674,there is a small yellow bird standing on the ground
Prothonotary_Warbler_0058_173440,yellow and gray bird perched on a metal pole with a green background
Gray_Catbird_0139_21281,there is a small bird sitting on a branch in a tree
Song_Sparrow_0123_121249,there is a bird that is standing on a rock by the water
Ovenbird_0083_92561,there is a small bird that is sitting on a branch
Common_Tern_0014_149194,there is a bird that is sitting on a railing
Bank_Swallow_0061_129484,there is a small bird sitting on top of a piece of ice
Caspian_Tern_0022_144922,araffe flying in the sky with a fish in its beak
Carolina_Wren_0056_186313,there is a small brown bird standing on a tree branch
Carolina_Wren_0035_186356,there is a small bird that is sitting on a wooden bench
Black_Tern_0046_144229,arafed bird flying in the sky with its wings spread
Black_Tern_0065_144076,there is a bird that is flying in the sky with its wings spread
American_Crow_0020_25618,there is a black bird that is eating a fish in the grass
Hooded_Warbler_0012_164891,there is a yellow bird sitting on a cactus plant with black spots
Common_Tern_0085_147937,there is a bird that is standing on a post by the water
Pelagic_Cormorant_0047_23718,there is a bird flying over the water with its wings spread
Ovenbird_0033_93232,there is a bird that is sitting on a branch in the woods
Bohemian_Waxwing_0034_796646,araffe bird perched on a branch with berries in its beak
Carolina_Wren_0126_186654,there is a bird that is sitting on a bird feeder
Bronzed_Cowbird_0017_24019,there is a black bird standing on the ground in the grass
Bank_Swallow_0037_129903,arafed bird sitting on a wire with a blue sky in the background
Least_Flycatcher_0057_30282,there is a small bird sitting on a branch in the woods
Bank_Swallow_0003_129623,arafed bird sitting on a wire with a blue sky in the background
Song_Sparrow_0135_121261,there is a bird that is sitting on a plant with a blurry background
Savannah_Sparrow_0048_120321,there is a bird that is standing in the grass on the ground
American_Pipit_0111_99940,there is a bird standing in the grass on the ground
Horned_Lark_0133_73882,there is a bird that is sitting on a rock
Tennessee_Warbler_0040_174933,there is a small bird that is standing on the ground
Yellow_Warbler_0016_176452,there is a small yellow bird perched on a branch of a tree
Bohemian_Waxwing_0068_796682,araffe bird with a red, yellow, and black tail sitting on a branch
Horned_Lark_0127_74414,there is a small bird sitting on top of a wooden post
Common_Tern_0087_147945,araffe bird with a fish in its beak flying in the sky
Downy_Woodpecker_0037_183968,there is a bird that is sitting on a bird feeder
Prothonotary_Warbler_0090_174183,yellow bird perched on a branch with a green background
Field_Sparrow_0051_114107,there is a bird that is standing in the grass
Downy_Woodpecker_0044_184170,there is a bird that is eating peanuts from a bird feeder
Least_Flycatcher_0096_30233,there is a small bird sitting on a branch in the tree
Bronzed_Cowbird_0055_24076,there is a black bird standing on the ground in the grass
Prothonotary_Warbler_0054_174556,yellow bird perched on a branch in a tree with green leaves
Tennessee_Warbler_0074_175058,there is a bird that is sitting on a half of an orange
Northern_Waterthrush_0097_177045,there is a small bird sitting on a piece of wood
Prairie_Warbler_0079_172735,there is a small yellow bird sitting on a branch of a tree
Tennessee_Warbler_0076_174807,there is a bird that is sitting on a branch eating berries
Cedar_Waxwing_0002_179071,there is a bird sitting on a branch of a tree
Bronzed_Cowbird_0011_24138,there is a black bird sitting on a branch with a blue sky in the background
Downy_Woodpecker_0096_184532,there is a bird that is sitting on a tree branch
Bohemian_Waxwing_0001_796680,araffe bird with a red berry in its beak
Bohemian_Waxwing_0028_796647,araflowe bird perched on a branch with berries in the background
Common_Tern_0118_148201,araffe flying in the sky with a city in the background
Downy_Woodpecker_0125_184656,there is a bird that is sitting on a bird feeder
Pelagic_Cormorant_0010_23711,there is a bird that is sitting on a post in the grass
American_Crow_0094_25576,there is a black bird standing on the ground in the dirt
American_Crow_0093_25694,there is a black bird with a worm in its mouth
Blue_Jay_0088_63264,araffy blue bird perched on a branch in a tree
Common_Tern_0125_148767,there is a bird that is flying over the water
American_Crow_0117_25090,there is a black bird standing on the grass in the field
Yellow_Warbler_0090_176366,yellow bird perched on a branch of a tree in a tree
Pelagic_Cormorant_0083_23557,there is a bird that is swimming in the water
Pileated_Woodpecker_0012_179976,there is a bird that is standing on a tree stump
Savannah_Sparrow_0028_119982,there is a bird sitting on a barbed wire with a blurry background
Winter_Wren_0004_189670,there is a small bird that is sitting on a branch
Cedar_Waxwing_0043_178321,araffe bird sitting on a branch with berries in its beak
Downy_Woodpecker_0059_184396,there is a bird that is sitting on a tree
Horned_Lark_0056_74896,there is a bird that is standing in the grass with a bird in its mouth
Least_Flycatcher_0064_30328,there is a small bird sitting on a branch of a tree
Blue_Jay_0051_63339,there is a blue bird standing on the ground eating peanuts
Cliff_Swallow_0088_134188,there is a small bird sitting on a persons hand
Tennessee_Warbler_0092_174810,there is a small bird that is sitting on the ground
Bank_Swallow_0035_129528,there are two birds that are sitting on the rocks
Prairie_Warbler_0062_172755,yellow bird perched on a branch of a tree with leaves
Winter_Wren_0082_189549,there is a small bird that is standing on the ground
Winter_Wren_0029_190376,there is a small bird that is sitting on a branch
Caspian_Tern_0023_147194,araffe bird standing on wet sand with orange beak
Prothonotary_Warbler_0066_174318,araffe bird perched on a branch in a tree with green leaves
Blue_Jay_0102_61494,there is a blue bird eating a seed on the ground
Caspian_Tern_0105_145673,there is a white bird with a red beak standing on the beach
Yellow_Warbler_0118_176409,yellow bird perched on a branch with green leaves in the background
Prothonotary_Warbler_0079_173899,there is a small yellow bird perched on a tree branch
Bohemian_Waxwing_0010_796672,there is a bird that is eating a piece of fruit on a tree
Bank_Swallow_0025_129521,there is a bird that is sitting on a wire
Black_Tern_0057_143884,arafed bird flying in the sky with its wings spread
Prothonotary_Warbler_0098_173913,yellow bird perched on a branch in a pond of water
Horned_Lark_0040_74214,there is a small bird with a yellow and black face
American_Crow_0081_25837,there is a black bird standing on the ground with its beak open
Hooded_Warbler_0090_164794,there is a yellow bird sitting on a branch in a tree
Common_Tern_0044_148680,there is a bird that is standing on a wooden fence
Common_Tern_0062_147947,there is a bird that is flying over the water
Black_Tern_0058_143981,there is a bird that is standing on a piece of wood in the water
Bank_Swallow_0022_129923,there is a bird sitting on a branch of a tree
Yellow_Warbler_0061_176559,yellow bird perched on a branch in a tree with no leaves
Tennessee_Warbler_0062_174949,there is a small bird sitting on top of a rock
Horned_Lark_0094_74407,there is a small bird standing on the ground in the middle of the corn field
Pileated_Woodpecker_0027_179956,araffe with a red head and a black body and a red beak
Pileated_Woodpecker_0030_180208,there is a bird with a red mohawk sitting on a post
Blue_Jay_0095_63505,there is a blue bird sitting on a wooden fence
Ovenbird_0004_92868,there is a small bird standing on the ground in the dirt
Ovenbird_0098_93032,there is a bird that is sitting on a branch of a tree
Caspian_Tern_0115_145927,araffe flying in the sky with its wings spread
American_Crow_0059_25599,there is a black bird standing on the ground in the grass
Prairie_Warbler_0054_172602,yellow and gray bird perched on a leafy branch in a garden
Ovenbird_0064_93208,there is a bird that is standing on the ground eating
Winter_Wren_0097_190139,there is a small bird that is sitting on a branch
Tree_Swallow_0035_136589,there is a bird that is sitting on a tree branch
Hooded_Warbler_0129_90165,yellow bird perched on a wire with a blue sky in the background
Prothonotary_Warbler_0106_174221,yellow bird standing on the hood of a car with a windshield
Horned_Lark_0112_73971,there is a small bird standing on the sand with a piece of food in its mouth
Cedar_Waxwing_0048_178960,araffe bird perched on a branch with leaves in the background
Song_Sparrow_0061_120891,there is a bird that is walking on the ground
Bronzed_Cowbird_0021_24189,there is a black bird standing on a concrete ledge next to a fence
Pileated_Woodpecker_0123_180076,araffe on a telephone pole with a red head and a black beak
Gray_Catbird_0100_20674,there is a bird that is sitting on a branch in the woods
Tree_Swallow_0008_135352,there is a small bird sitting on a branch in the grass
Cliff_Swallow_0069_133521,araffe bird perched on a wire against a gray sky
Bronzed_Cowbird_0043_796224,there is a black bird standing in the grass on the ground
Bohemian_Waxwing_0082_796655,there is a bird that is sitting on a tree branch with a berry in its mouth
American_Crow_0116_25199,there is a black bird sitting on a post on the side of the road
Cedar_Waxwing_0113_178627,araffe bird with a black beak and a brown body and a black head
Prairie_Warbler_0080_172724,there is a small yellow bird perched on a branch of a tree
American_Pipit_0109_99710,there is a small bird standing on a log in the woods
Tennessee_Warbler_0023_174977,there is a small yellow bird perched on a branch of a tree
Carolina_Wren_0141_186347,there is a small brown bird sitting on a branch
Pelagic_Cormorant_0026_23792,there is a bird that is sitting on a post
Gray_Catbird_0118_20476,there is a bird that is standing on the ground eating
Pileated_Woodpecker_0121_180026,there is a bird that is standing on a tree trunk
Tree_Swallow_0029_134882,there is a bird that is sitting on a branch in the grass
Yellow_Warbler_0018_176674,there is a yellow bird sitting on a rock in the sun
Tennessee_Warbler_0007_174796,there is a bird that is sitting on a half of an orange
Caspian_Tern_0062_145981,arafed bird with orange beak and black head standing on a ledge
Song_Sparrow_0097_121438,there is a small bird standing on a branch in the water
Northern_Waterthrush_0013_177343,there is a bird that is standing on the ground in the woods
Yellow_Warbler_0087_176591,there is a yellow bird that is standing in the water
Least_Flycatcher_0044_30349,there is a bird that is sitting on a branch in the tree
Savannah_Sparrow_0084_120063,there is a bird that is sitting on a post by the water
Pelagic_Cormorant_0041_23763,there is a bird that is sitting on top of a water tank
Winter_Wren_0075_189578,araffe perched on a branch with green leaves in the background
Prairie_Warbler_0106_173071,there is a small yellow bird perched on a branch of a tree
Cedar_Waxwing_0066_178719,there is a bird sitting on a branch of a tree
Cedar_Waxwing_0083_178743,araffe bird perched on a branch with a bright green background
Cliff_Swallow_0058_133060,there is a bird flying in the sky with its wings spread
Black_Tern_0009_144046,there is a bird that is sitting on a rock in the water
Carolina_Wren_0125_187009,there is a bird that is sitting on a tree branch
Cliff_Swallow_0036_133168,there is a bird that is sitting in a hole in the wall
Yellow_Warbler_0035_176360,yellow bird perched on a branch with a green background
Black_Tern_0104_144038,there is a bird that is sitting on a post in the grass
Downy_Woodpecker_0058_184520,there is a bird that is sitting on a tree
Caspian_Tern_0101_145164,araffe bird with orange beak standing on the beach
Caspian_Tern_0099_145939,araffe flying in the sky with a beak open
Least_Flycatcher_0015_30280,there is a small bird sitting on a branch of a tree
Winter_Wren_0142_190379,there is a small bird standing on a rock in the sun
Pelagic_Cormorant_0005_23720,there is a bird that is sitting on a wall
Northern_Waterthrush_0011_177311,there is a bird standing on a rock in the water
Common_Tern_0043_147753,there is a bird that is flying in the air with a fish in it's beak
Carolina_Wren_0060_186296,araffe perched on a branch with a green background
Carolina_Wren_0069_186230,there is a small bird that is sitting on a tree stump
Black_Tern_0100_144597,there is a black and white bird standing in the grass
Ovenbird_0015_93037,there is a small bird standing on the ground in the sand
Ovenbird_0011_92451,there is a bird that is sitting on a branch in the tree
Ovenbird_0124_93103,there is a bird that is sitting on a branch in the tree
Black_Tern_0056_143906,arafed bird flying in the sky with its wings spread
Field_Sparrow_0067_113448,there is a small bird sitting on a branch of a tree
Tennessee_Warbler_0013_163552,there is a small bird sitting on a branch in a tree
Horned_Lark_0087_73989,there is a small bird standing on the ground in the sun
Northern_Waterthrush_0089_177167,there is a bird that is sitting on a branch in the grass
Gray_Catbird_0042_20546,there is a bird that is sitting on a tree branch
Northern_Waterthrush_0049_177173,there is a bird that is standing on a log in the water
Bohemian_Waxwing_0095_177709,araffe bird with a red, yellow, and black head sitting on a branch
Field_Sparrow_0121_113455,there is a small bird sitting on a branch in the tree
Gray_Catbird_0044_20955,there is a bird that is sitting on top of a bird feeder
Bank_Swallow_0026_129870,there is a bird that is sitting on a branch in the tree
Horned_Lark_0019_73996,there is a bird that is standing on a snow covered hill
Field_Sparrow_0131_113582,there is a bird that is sitting on the snow
American_Pipit_0072_99631,there is a small bird standing on the ground next to rocks
Tennessee_Warbler_0022_174799,there is a small bird perched on a branch of a tree
Common_Tern_0075_148528,there is a bird that is sitting on a rock by the water
Least_Flycatcher_0004_30140,there is a small bird perched on a branch of a tree
Common_Tern_0105_149841,there is a bird that is flying in the sky with a fish in its mouth
Field_Sparrow_0125_113869,there is a small bird sitting on top of a wooden post
Prairie_Warbler_0125_172536,yellow bird perched on a branch with a green background
Bank_Swallow_0066_129559,arafed bird perched on a rock in the sun
Ovenbird_0112_93018,there is a small bird that is sitting on the ground
American_Pipit_0022_100227,there is a bird that is standing in the grass with a worm in its mouth
Least_Flycatcher_0038_30127,there is a small bird sitting on a branch in the tree
Blue_Jay_0099_64435,there is a blue bird sitting on a branch of a tree
Bronzed_Cowbird_0049_24147,there is a black bird that is sitting on a wooden table
Cliff_Swallow_0083_133771,arafed bird sitting on a wire with a white background
Caspian_Tern_0060_146007,araffe flying in the sky with its wings spread
Tree_Swallow_0105_134648,there is a small bird sitting on a branch with a blurry background
Horned_Lark_0097_74496,there is a small bird that is sitting on a piece of wood
Hooded_Warbler_0128_164620,yellow and black bird standing on dirt with green leaves in background
Bank_Swallow_0040_129674,arafed bird perched on a wire with a blue sky in the background
